"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1970",2.55237970789247,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1971",2.85135211850852,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1972",3.18366717734073,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1973",3.83718307899071,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1974",4.69019915810015,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1975",5.20200880556582,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1976",5.79384080833557,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1977",6.26786212135209,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1978",6.5901743857713,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1979",7.46041749970315,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1980",8.43457853337016,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1981",9.70771197782602,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1982",10.0550312282777,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1983",10.6296361962251,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1984",11.8538670902173,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1985",13.0619823709886,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1986",13.9702528799424,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1987",14.7789322108204,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1988",18.1088387994143,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1989",22.5876027086383,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1990",22.9336440702782,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1991",23.5288352122987,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1992",23.8887182284041,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1993",24.5115926793557,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1994",25.3895490483162,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1995",25.6960428257686,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1996",25.9036676427525,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1997",26.941791727672,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1998",28.9211483162518,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1999",31.0191476573938,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2000",33.5956727672035,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2001",37.3685122986822,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2002",44.3723894582723,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2003",52.3756566617862,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2004",55.6469999999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2005",56.6647499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2006",60.5794999999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2007",66.9602499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2008",69.6027499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2009",72.4212499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2010",80.8769999999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2011",79.1347499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2012",78.8802499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2013",84.1064999999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2014",91.7202499999999,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2016",105.5,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2017",114.30825,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2018",112.66375,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2019",108.08375,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2020",113.9165,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2021",133.76375,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2022",142.65002381061,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1970",56.2012223459281,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1971",57.6677247217294,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1972",58.6779675157764,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1973",60.7635550781112,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1974",61.6745323685159,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1975",57.3529142561222,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1976",57.0413243357087,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1977",55.9030801504686,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1978",53.2793874538388,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1979",53.8482957549059,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1980",54.7618634691911,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1981",56.4705387004751,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1982",52.8670220968117,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1983",51.7113573276581,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1984",53.0762784550321,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1985",55.0446555540389,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1986",54.9952133916385,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1987",54.6552968900421,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1988",61.422595028792,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1989",69.2836553276546,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1990",65.3926808014648,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1991",66.578462632169,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1992",65.650859222813,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1993",65.6629862960265,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1994",64.9759639131737,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1995",63.0946384747913,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1996",60.467100281816,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1997",60.7076576706012,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1998",64.397424886488,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1999",66.0174540210658,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2000",67.7003585032117,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2001",69.6540126292461,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2002",81.1259504158026,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2003",91.6154252166957,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2004",91.0630618792055,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2005",88.2068493413722,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2006",89.6610380980736,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2007",91.3490436354472,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2008",88.6678045281777,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2009",87.7977204502774,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2010",94.245402673914,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2011",86.6394510935036,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2012",85.1873488161247,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2013",88.3894573921801,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2014",93.0561583410102,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2016",105.114868604474,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2017",112.395511504766,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2018",107.568876739076,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2019",100.505657256108,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2020",100.213780655544,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2021",113.448467266113,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2022",117.87985907372,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1973",40.9202111354507,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1974",45.0634501469369,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1975",42.9199567061988,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1976",41.7044144386986,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1977",40.6310348912117,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1978",39.4633755265621,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1979",41.1628300774471,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1980",43.5727823315628,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1981",46.4066048630382,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1982",43.0479034930171,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1983",41.7513782785656,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1984",43.3761248081914,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1985",44.0623367882691,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1986",42.7376472450376,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1987",40.972461869538,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1988",44.9664825384586,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1989",51.3443484234761,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1990",49.196637832869,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1991",48.8618268495844,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1992",49.146758795132,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1993",50.1926378225342,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1994",51.6288672684787,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1995",51.3754911771481,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1996",50.2538855841153,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1997",50.7804661305954,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1998",52.9008236247988,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1999",55.2586548902055,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2000",58.0622473967497,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2001",62.6188443053168,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2002",72.5584686248959,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2003",84.0716892467397,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2004",87.1543392387607,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2005",86.8239973536405,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2006",89.8900824126316,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2007",94.1711887654217,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2008",90.9112022512379,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2009",88.5577009228713,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2010",94.8306635077871,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2011",88.7312023633234,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2012",84.9053761849247,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2013",87.6314934887159,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2014",93.2282793628946,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2015",100,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2016",104.714433428489,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2017",112.746800866361,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2018",110.409251378742,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2019",105.540450493869,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2020",112.290041550875,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2021",132.074838829415,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2022",137.692269656416,
"AUS","HOUSECOST","REAL","IDX2015","A","1970",26.0646245978059,
"AUS","HOUSECOST","REAL","IDX2015","A","1971",27.1681801644102,
"AUS","HOUSECOST","REAL","IDX2015","A","1972",28.5423320550641,
"AUS","HOUSECOST","REAL","IDX2015","A","1973",31.6311903031997,
"AUS","HOUSECOST","REAL","IDX2015","A","1974",33.5815923537051,
"AUS","HOUSECOST","REAL","IDX2015","A","1975",31.7853095919465,
"AUS","HOUSECOST","REAL","IDX2015","A","1976",31.0736860167674,
"AUS","HOUSECOST","REAL","IDX2015","A","1977",30.4784015551137,
"AUS","HOUSECOST","REAL","IDX2015","A","1978",29.5539937102245,
"AUS","HOUSECOST","REAL","IDX2015","A","1979",30.5122243614584,
"AUS","HOUSECOST","REAL","IDX2015","A","1980",31.2613046980955,
"AUS","HOUSECOST","REAL","IDX2015","A","1981",32.9484407605874,
"AUS","HOUSECOST","REAL","IDX2015","A","1982",30.9370946557431,
"AUS","HOUSECOST","REAL","IDX2015","A","1983",29.9200951774954,
"AUS","HOUSECOST","REAL","IDX2015","A","1984",31.3654261286792,
"AUS","HOUSECOST","REAL","IDX2015","A","1985",32.4102892933833,
"AUS","HOUSECOST","REAL","IDX2015","A","1986",32.064660318096,
"AUS","HOUSECOST","REAL","IDX2015","A","1987",31.4659704503629,
"AUS","HOUSECOST","REAL","IDX2015","A","1988",36.031033647495,
"AUS","HOUSECOST","REAL","IDX2015","A","1989",42.2437229817661,
"AUS","HOUSECOST","REAL","IDX2015","A","1990",40.3047626091603,
"AUS","HOUSECOST","REAL","IDX2015","A","1991",39.8763831167969,
"AUS","HOUSECOST","REAL","IDX2015","A","1992",39.750713091613,
"AUS","HOUSECOST","REAL","IDX2015","A","1993",39.95425346776,
"AUS","HOUSECOST","REAL","IDX2015","A","1994",40.7412490439402,
"AUS","HOUSECOST","REAL","IDX2015","A","1995",40.1246521552845,
"AUS","HOUSECOST","REAL","IDX2015","A","1996",39.6569427250647,
"AUS","HOUSECOST","REAL","IDX2015","A","1997",40.7104303185694,
"AUS","HOUSECOST","REAL","IDX2015","A","1998",43.1238644739231,
"AUS","HOUSECOST","REAL","IDX2015","A","1999",45.7280696211647,
"AUS","HOUSECOST","REAL","IDX2015","A","2000",47.8939324354617,
"AUS","HOUSECOST","REAL","IDX2015","A","2001",51.4754552203861,
"AUS","HOUSECOST","REAL","IDX2015","A","2002",59.5399061336412,
"AUS","HOUSECOST","REAL","IDX2015","A","2003",68.8853491806367,
"AUS","HOUSECOST","REAL","IDX2015","A","2004",72.1577325829864,
"AUS","HOUSECOST","REAL","IDX2015","A","2005",71.9232062755773,
"AUS","HOUSECOST","REAL","IDX2015","A","2006",74.2434999758168,
"AUS","HOUSECOST","REAL","IDX2015","A","2007",79.5711350975513,
"AUS","HOUSECOST","REAL","IDX2015","A","2008",80.1881043431487,
"AUS","HOUSECOST","REAL","IDX2015","A","2009",81.3585788875007,
"AUS","HOUSECOST","REAL","IDX2015","A","2010",89.0187557387104,
"AUS","HOUSECOST","REAL","IDX2015","A","2011",85.2264820858376,
"AUS","HOUSECOST","REAL","IDX2015","A","2012",83.0595260425517,
"AUS","HOUSECOST","REAL","IDX2015","A","2013",86.620985806159,
"AUS","HOUSECOST","REAL","IDX2015","A","2014",92.9041983062435,
"AUS","HOUSECOST","REAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","REAL","IDX2015","A","2016",104.844664019751,
"AUS","HOUSECOST","REAL","IDX2015","A","2017",112.195557906333,
"AUS","HOUSECOST","REAL","IDX2015","A","2018",108.78130191648,
"AUS","HOUSECOST","REAL","IDX2015","A","2019",102.488286942783,
"AUS","HOUSECOST","REAL","IDX2015","A","2020",106.661359718641,
"AUS","HOUSECOST","REAL","IDX2015","A","2021",122.793406011289,
"AUS","HOUSECOST","REAL","IDX2015","A","2022",124.484650610503,
"AUS","HOUSECOST","RENT","IDX2015","A","1973",9.36645492083801,
"AUS","HOUSECOST","RENT","IDX2015","A","1974",10.4147668018458,
"AUS","HOUSECOST","RENT","IDX2015","A","1975",12.1239765154971,
"AUS","HOUSECOST","RENT","IDX2015","A","1976",13.901551737694,
"AUS","HOUSECOST","RENT","IDX2015","A","1977",15.4284444285555,
"AUS","HOUSECOST","RENT","IDX2015","A","1978",16.7046520880815,
"AUS","HOUSECOST","RENT","IDX2015","A","1979",18.1175972646996,
"AUS","HOUSECOST","RENT","IDX2015","A","1980",19.3482274185284,
"AUS","HOUSECOST","RENT","IDX2015","A","1981",20.9206951150868,
"AUS","HOUSECOST","RENT","IDX2015","A","1982",23.3819529227441,
"AUS","HOUSECOST","RENT","IDX2015","A","1983",25.4557906819738,
"AUS","HOUSECOST","RENT","IDX2015","A","1984",27.3245234155654,
"AUS","HOUSECOST","RENT","IDX2015","A","1985",29.6490487061311,
"AUS","HOUSECOST","RENT","IDX2015","A","1986",32.7028265878533,
"AUS","HOUSECOST","RENT","IDX2015","A","1987",36.0756670094584,
"AUS","HOUSECOST","RENT","IDX2015","A","1988",40.200552525069,
"AUS","HOUSECOST","RENT","IDX2015","A","1989",44.0063855007982,
"AUS","HOUSECOST","RENT","IDX2015","A","1990",46.6271708283963,
"AUS","HOUSECOST","RENT","IDX2015","A","1991",48.1540635192579,
"AUS","HOUSECOST","RENT","IDX2015","A","1992",48.6098560762319,
"AUS","HOUSECOST","RENT","IDX2015","A","1993",48.8377461047182,
"AUS","HOUSECOST","RENT","IDX2015","A","1994",49.1795861474482,
"AUS","HOUSECOST","RENT","IDX2015","A","1995",50.0227937528492,
"AUS","HOUSECOST","RENT","IDX2015","A","1996",51.5496864437108,
"AUS","HOUSECOST","RENT","IDX2015","A","1997",53.0537916317239,
"AUS","HOUSECOST","RENT","IDX2015","A","1998",54.6718393339799,
"AUS","HOUSECOST","RENT","IDX2015","A","1999",56.1303620162952,
"AUS","HOUSECOST","RENT","IDX2015","A","2000",57.8623622327952,
"AUS","HOUSECOST","RENT","IDX2015","A","2001",59.6627224578402,
"AUS","HOUSECOST","RENT","IDX2015","A","2002",61.1440351430043,
"AUS","HOUSECOST","RENT","IDX2015","A","2003",62.2835102854387,
"AUS","HOUSECOST","RENT","IDX2015","A","2004",63.8559779819972,
"AUS","HOUSECOST","RENT","IDX2015","A","2005",65.2689231586153,
"AUS","HOUSECOST","RENT","IDX2015","A","2006",67.3883384235422,
"AUS","HOUSECOST","RENT","IDX2015","A","2007",71.0802288850285,
"AUS","HOUSECOST","RENT","IDX2015","A","2008",76.6408470801058,
"AUS","HOUSECOST","RENT","IDX2015","A","2009",81.7456827182102,
"AUS","HOUSECOST","RENT","IDX2015","A","2010",85.300833162604,
"AUS","HOUSECOST","RENT","IDX2015","A","2011",89.2206111525763,
"AUS","HOUSECOST","RENT","IDX2015","A","2012",92.9125016140626,
"AUS","HOUSECOST","RENT","IDX2015","A","2013",95.9662819957851,
"AUS","HOUSECOST","RENT","IDX2015","A","2014",98.3819622977452,
"AUS","HOUSECOST","RENT","IDX2015","A","2015",100,
"AUS","HOUSECOST","RENT","IDX2015","A","2016",100.752062594008,
"AUS","HOUSECOST","RENT","IDX2015","A","2017",101.39016267377,
"AUS","HOUSECOST","RENT","IDX2015","A","2018",102.051037756379,
"AUS","HOUSECOST","RENT","IDX2015","A","2019",102.415712801964,
"AUS","HOUSECOST","RENT","IDX2015","A","2020",101.458537682317,
"AUS","HOUSECOST","RENT","IDX2015","A","2021",101.27623765953,
"AUS","HOUSECOST","RENT","IDX2015","A","2022",103.646337955936,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2000",58.5838607572213,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2001",59.0818235759494,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2002",59.4186807753165,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2003",59.5797863924051,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2004",58.437401107595,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2005",61.3519481803798,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2006",63.871054193038,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2007",66.8588310917722,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2008",67.576483386076,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2009",70.2127571202533,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2010",76.7975000000001,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2011",81.5975000000001,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2012",87.5700000000001,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2013",92.1000000000001,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2014",95.3300000000001,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2016",108.5325,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2017",114.26,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2018",119.64,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2019",126.6,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2020",136.31125,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2021",153.2625,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2022",170.764999998242,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2000",82.1481246689847,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2001",81.7246662466713,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2002",80.873707304713,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2003",78.6488493715612,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2004",74.8024934681153,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2005",74.0798150387632,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2006",74.0059951817313,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2007",74.1869900633582,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2008",73.0050865247748,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2009",76.0275535695213,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2010",82.6890473947742,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2011",85.8931819287389,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2012",89.0777369044199,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2013",94.1615947050448,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2014",95.5787208180504,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2016",105.462881601114,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2017",107.949454882877,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2018",109.974668146787,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2019",113.957942362283,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2020",125.291998793545,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2021",136.012321306841,
"AUT","HOUSECOST","PRICEINCOME","IDX2015","A","2022",138.248241986458,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2000",94.9301451753081,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2001",93.1077357015108,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2002",92.0962656913217,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2003",88.4778872726181,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2004",83.8710139978777,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2005",85.1295880583522,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2006",86.6759513899583,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2007",88.9793947947893,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2008",88.8167074725382,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2009",88.1608772689424,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2010",92.7494283626253,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2011",95.3808437775214,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2012",98.0493802712752,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2013",100.018486121959,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2014",99.5795523533218,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2015",100,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2016",105.309721791371,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2017",106.464512361859,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2018",107.480566584657,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2019",110.447533286656,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2020",114.233475449644,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2021",126.019675138577,
"AUT","HOUSECOST","PRICERENT","IDX2015","A","2022",139.187135338358,
"AUT","HOUSECOST","REAL","IDX2015","A","2000",77.9830594337985,
"AUT","HOUSECOST","REAL","IDX2015","A","2001",76.82390123261,
"AUT","HOUSECOST","REAL","IDX2015","A","2002",76.4802785892738,
"AUT","HOUSECOST","REAL","IDX2015","A","2003",75.5243957526656,
"AUT","HOUSECOST","REAL","IDX2015","A","2004",72.8275879765825,
"AUT","HOUSECOST","REAL","IDX2015","A","2005",74.6526984303942,
"AUT","HOUSECOST","REAL","IDX2015","A","2006",76.1238528950588,
"AUT","HOUSECOST","REAL","IDX2015","A","2007",77.7563807144789,
"AUT","HOUSECOST","REAL","IDX2015","A","2008",76.9778167155845,
"AUT","HOUSECOST","REAL","IDX2015","A","2009",79.7129672144934,
"AUT","HOUSECOST","REAL","IDX2015","A","2010",85.6828605944338,
"AUT","HOUSECOST","REAL","IDX2015","A","2011",88.2512710249729,
"AUT","HOUSECOST","REAL","IDX2015","A","2012",92.5323905222922,
"AUT","HOUSECOST","REAL","IDX2015","A","2013",95.3244181571681,
"AUT","HOUSECOST","REAL","IDX2015","A","2014",96.7161072726325,
"AUT","HOUSECOST","REAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","REAL","IDX2015","A","2016",106.99528848013,
"AUT","HOUSECOST","REAL","IDX2015","A","2017",110.705477342603,
"AUT","HOUSECOST","REAL","IDX2015","A","2018",113.643044501409,
"AUT","HOUSECOST","REAL","IDX2015","A","2019",118.174269684632,
"AUT","HOUSECOST","REAL","IDX2015","A","2020",125.711761366826,
"AUT","HOUSECOST","REAL","IDX2015","A","2021",138.436448021319,
"AUT","HOUSECOST","REAL","IDX2015","A","2022",143.690434173119,
"AUT","HOUSECOST","RENT","IDX2015","A","1966",6.67705693946615,
"AUT","HOUSECOST","RENT","IDX2015","A","1967",7.07486512479098,
"AUT","HOUSECOST","RENT","IDX2015","A","1968",7.57059493197715,
"AUT","HOUSECOST","RENT","IDX2015","A","1969",8.1230753851017,
"AUT","HOUSECOST","RENT","IDX2015","A","1970",9.04276350199559,
"AUT","HOUSECOST","RENT","IDX2015","A","1971",10.2022482155196,
"AUT","HOUSECOST","RENT","IDX2015","A","1972",11.2382178923437,
"AUT","HOUSECOST","RENT","IDX2015","A","1973",12.5412488811004,
